venue,capacity,address,lat,lon
熊本市水前寺競技場,15000,熊本県熊本市中央区水前寺5丁目23−3,32.7941074,130.7414748
昭和電工ドーム大分,40000,大分県大分市横尾1351,33.200786,131.6575
東平尾公園博多の森陸上競技場,30000,福岡県福岡市博多区東平尾公園2丁目1−2,33.58458505,130.46571871423373
たけびしスタジアム京都,20588,京都府京都市右京区西京極新明町29,34.993752,135.712438
大分市営陸上競技場,15943,大分県大分市西浜1−1,33.246069950000006,131.6231471205263
浦和駒場スタジアム,21500,埼玉県さいたま市浦和区駒場2丁目1−1,35.8715047,139.66588758343676
セービング陸上競技場,23939,山口県下関市向洋町1丁目10−1,33.966777,130.934221
北上総合運動公園北上陸上競技場,22000,岩手県北上市相去町高前檀27−36,33.966777,130.934221
国立競技場,54224,東京都新宿区霞ヶ丘町10−1,35.67785955,139.71351420013758
いわきグリーンフィールド,5600,福島県いわき市常磐水野谷町竜ケ沢308,37.017245349999996,140.86441207481704
万博記念競技場,21000,大阪府吹田市千里万博公園5-2,34.810305,135.5426977881143
山梨県小瀬スポーツ公園陸上競技場,15859,山梨県甲府市小瀬町840,35.62243055,138.5898405799294
静岡スタジアムエコパ,51697,静岡県袋井市愛野2300−1,34.743828,137.968162
名古屋市瑞穂陸上競技場,20223,愛知県名古屋市瑞穂区山下通5-1,35.131623,136.933489
広島ビッグアーチ,36894,広島県広島市安佐南区大塚西5丁目1−1,34.444006,132.394111
新潟スタジアム,41684,新潟県新潟市中央区清五郎67-12,37.882408,139.059359
日本平スタジアム,20248,静岡県静岡市清水区村松3880−1,34.985168,138.481305
東平尾公園博多の森球技場,22331,福岡県福岡市博多区東平尾公園2丁目1−2,33.58731,130.463308
九州石油ドーム,31997,大分県大分市横尾1351,33.20078235,131.65748521324446
大阪長居スタジアム,47853,大阪府大阪市東住吉区長居公園1-1,34.614434,135.515477
さいたま市浦和駒場スタジアム,21500,埼玉県さいたま市浦和区駒場2丁目1−1,35.8715047,139.66588758343676
横浜市三ツ沢公園球技場,15440,神奈川県横浜市神奈川区三ツ沢西町3-1,35.469318,139.606574
大阪長居第2陸上競技場,15516,大阪府大阪市東住吉区長居公園1−1,34.614434,135.515477
熊本県民総合運動公園陸上競技場,30684,熊本県熊本市東区平山町2776 2776番地,32.8368519,130.80012364619364
東北電力ビッグスワンスタジアム,41684,新潟県新潟市中央区清五郎67-12,37.882408,139.059359
ホームズスタジアム神戸,28425,兵庫県神戸市兵庫区御崎町1丁目2−2,34.656726,135.168171
柏の葉公園総合競技場,20000,千葉県柏市柏の葉4丁目1,35.896443,139.937654
名古屋市瑞穂球技場,20223,愛知県名古屋市瑞穂区山下通5丁目1,35.131623,136.933489
鹿児島県立鴨池陸上競技場,12584,鹿児島県鹿児島市与次郎2丁目2−2,31.56489655,130.5601671371307
アウトソーシングスタジアム日本平,20248,静岡県静岡市清水区村松3880−1,34.985168,138.481305
平塚競技場,15732,神奈川県平塚市大原1−1,35.3436618,139.34113627775108
宮城スタジアム,49133,宮城県宮城郡利府町菅谷字舘40-1,38.338464,140.956244
コカ・コーラウエスト広島スタジアム,13800,広島県広島市西区観音新町2丁目11−124,34.378236,132.422976
佐賀県総合運動場陸上競技場,17000,佐賀県佐賀市日の出2-1-10,33.276471,130.290312
ShonanBMWスタジアム平塚,15732,神奈川県平塚市大原1−1,35.342153,139.344695
パナソニックスタジアム吹田,39694,大阪府吹田市千里万博公園3−3,34.799964,135.539011
