id,team_name,win_points,win_streak,prev_score,standing
9196,大分,0,0,0,
9196,C大阪,0,0,2,
9197,G大阪,1,0,1,
9197,甲府,0,0,0,
9197,FC東京,,1,2,
9197,磐田,1,0,1,
9197,清水,3,1,2,
9197,名古屋,,1,3,
9197,大宮,,1,4,
9197,浦和,1,0,1,
9197,川崎F,,1,6,
9197,広島,,,,
9197,横浜FM,,,,
9197,千葉,0,0,2,
9197,新潟,0,0,0,
9197,鹿島,,,,
9197,京都,,,,
9197,福岡,1,0,1,
9197,大分,0,0,0,
9197,C大阪,0,0,2,
9198,G大阪,1,0,1,
9198,甲府,0,0,0,
9198,FC東京,,1,2,
9198,磐田,1,0,1,
9198,清水,3,1,2,
9198,名古屋,,1,3,
9198,大宮,,1,4,
9198,浦和,1,0,1,
9198,川崎F,,1,6,
9198,広島,0,0,3,
9198,横浜FM,,,,
9198,千葉,0,0,2,
9198,新潟,0,0,0,
9198,鹿島,3,1,4,
9198,京都,,,,
9198,福岡,1,0,1,
9198,大分,0,0,0,
9198,C大阪,0,0,2,
9199,G大阪,1,0,1,
9199,甲府,0,0,0,
9199,FC東京,,1,2,
9199,磐田,1,0,1,
9199,清水,3,1,2,
9199,名古屋,,1,3,
9199,大宮,,1,4,
9199,浦和,1,0,1,
9199,川崎F,,1,6,
9199,広島,0,0,3,
9199,横浜FM,,1,4,
9199,千葉,0,0,2,
9199,新潟,0,0,0,
9199,鹿島,3,1,4,
9199,京都,0,0,1,
9199,福岡,1,0,1,
9199,大分,0,0,0,
9199,C大阪,0,0,2,
9200,G大阪,1,0,1,
9200,甲府,0,0,0,
9200,FC東京,,1,2,
9200,磐田,1,0,1,
9200,清水,3,1,2,
9200,名古屋,,1,3,
9200,大宮,,1,4,
9200,浦和,4,1,3,
9200,川崎F,,1,6,
9200,広島,0,0,3,
9200,横浜FM,,1,4,
9200,千葉,0,0,2,
9200,新潟,0,0,0,
9200,鹿島,3,1,4,
9200,京都,0,0,1,
9200,福岡,1,0,1,
9200,大分,0,0,0,
9200,C大阪,0,0,2,
9201,G大阪,1,0,1,
9201,甲府,1,0,2,
9201,FC東京,,1,2,
9201,磐田,1,0,1,
9201,清水,3,1,2,
9201,名古屋,,1,3,
9201,大宮,,1,4,
9201,浦和,4,1,3,
9201,川崎F,,1,6,
9201,広島,0,0,3,
9201,横浜FM,,1,4,
9201,千葉,1,0,2,
9201,新潟,0,0,0,
9201,鹿島,3,1,4,
9201,京都,0,0,1,
9201,福岡,1,0,1,
9201,大分,0,0,0,
9201,C大阪,0,0,2,
9202,G大阪,1,0,1,
9202,甲府,1,0,2,
9202,FC東京,0,0,0,
9202,磐田,1,0,1,
9202,清水,3,1,2,
9202,名古屋,,1,3,
9202,大宮,,1,4,
9202,浦和,4,1,3,
9202,川崎F,,1,6,
9202,広島,0,0,3,
9202,横浜FM,,1,4,
9202,千葉,1,0,2,
9202,新潟,3,1,2,
9202,鹿島,3,1,4,
9202,京都,0,0,1,
9202,福岡,1,0,1,
9202,大分,0,0,0,
9202,C大阪,0,0,2,
9203,G大阪,1,0,1,
9203,甲府,1,0,2,
9203,FC東京,0,0,0,
9203,磐田,1,0,1,
9203,清水,6,2,2,
9203,名古屋,0,0,0,
9203,大宮,,1,4,
9203,浦和,4,1,3,
9203,川崎F,,1,6,
9203,広島,0,0,3,
9203,横浜FM,,1,4,
9203,千葉,1,0,2,
9203,新潟,3,1,2,
9203,鹿島,3,1,4,
9203,京都,0,0,1,
9203,福岡,1,0,1,
9203,大分,0,0,0,
9203,C大阪,0,0,2,
9204,G大阪,1,0,1,
9204,甲府,1,0,2,
9204,FC東京,0,0,0,
9204,磐田,1,0,1,
9204,清水,6,2,2,
9204,名古屋,0,0,0,
9204,大宮,,1,4,
9204,浦和,4,1,3,
9204,川崎F,,1,6,
9204,広島,0,0,3,
9204,横浜FM,3,1,3,
9204,千葉,1,0,2,
9204,新潟,3,1,2,
9204,鹿島,3,0,0,
9204,京都,0,0,1,
9204,福岡,1,0,1,
9204,大分,0,0,0,
9204,C大阪,0,0,2,
9205,G大阪,1,0,1,
9205,甲府,1,0,2,
9205,FC東京,0,0,0,
9205,磐田,1,0,1,
9205,清水,6,2,2,
9205,名古屋,0,0,0,
9205,大宮,,1,4,
9205,浦和,4,1,3,
9205,川崎F,3,1,6,
9205,広島,0,0,3,
9205,横浜FM,3,1,3,
9205,千葉,1,0,2,
9205,新潟,3,1,2,
9205,鹿島,3,0,0,
9205,京都,0,0,2,
9205,福岡,1,0,1,
9205,大分,0,0,0,
9205,C大阪,0,0,2,
9206,G大阪,1,0,1,8.0
9206,甲府,1,0,2,8.0
9206,FC東京,0,0,0,13.0
9206,磐田,1,0,1,8.0
9206,清水,6,2,2,1.0
9206,名古屋,0,0,0,13.0
9206,大宮,1,0,1,8.0
9206,浦和,4,1,3,2.0
9206,川崎F,3,1,6,3.0
9206,広島,0,0,3,13.0
9206,横浜FM,3,1,3,3.0
9206,千葉,1,0,2,8.0
9206,新潟,3,1,2,3.0
9206,鹿島,3,0,0,3.0
9206,京都,0,0,2,13.0
9206,福岡,2,0,1,7.0
9206,大分,0,0,0,13.0
9206,C大阪,0,0,2,13.0
9207,G大阪,1,0,1,8.0
9207,甲府,1,0,2,8.0
9207,FC東京,0,0,0,15.0
9207,磐田,1,0,1,8.0
9207,清水,6,2,2,1.0
9207,名古屋,0,0,0,15.0
9207,大宮,1,0,1,8.0
9207,浦和,4,1,3,2.0
9207,川崎F,3,1,6,3.0
9207,広島,1,0,1,8.0
9207,横浜FM,3,1,3,3.0
9207,千葉,1,0,2,8.0
9207,新潟,3,1,2,3.0
9207,鹿島,3,0,0,3.0
9207,京都,0,0,2,15.0
9207,福岡,2,0,1,7.0
9207,大分,1,0,1,8.0
9207,C大阪,0,0,2,15.0
9208,G大阪,4,1,6,2.0
9208,甲府,1,0,2,9.0
9208,FC東京,0,0,0,15.0
9208,磐田,1,0,1,9.0
9208,清水,6,2,2,1.0
9208,名古屋,0,0,0,15.0
9208,大宮,1,0,1,9.0
9208,浦和,4,1,3,2.0
9208,川崎F,3,1,6,4.0
9208,広島,1,0,1,9.0
9208,横浜FM,3,1,3,4.0
9208,千葉,1,0,2,9.0
9208,新潟,3,1,2,4.0
9208,鹿島,3,0,0,4.0
9208,京都,0,0,2,15.0
9208,福岡,2,0,1,8.0
9208,大分,1,0,1,9.0
9208,C大阪,0,0,1,15.0
9209,G大阪,4,1,6,2.0
9209,甲府,1,0,2,9.0
9209,FC東京,0,0,0,15.0
9209,磐田,1,0,1,9.0
9209,清水,9,3,1,1.0
9209,名古屋,0,0,0,15.0
9209,大宮,1,0,1,9.0
9209,浦和,4,1,3,2.0
9209,川崎F,3,1,6,4.0
9209,広島,1,0,1,9.0
9209,横浜FM,3,1,3,4.0
9209,千葉,1,0,2,9.0
9209,新潟,3,1,2,4.0
9209,鹿島,3,0,0,4.0
9209,京都,0,0,2,15.0
9209,福岡,2,0,1,8.0
9209,大分,1,0,1,9.0
9209,C大阪,0,0,1,15.0
9210,G大阪,4,1,6,2.0
9210,甲府,1,0,2,10.0
9210,FC東京,0,0,0,16.0
9210,磐田,2,0,1,8.0
9210,清水,9,3,1,1.0
9210,名古屋,0,0,0,16.0
9210,大宮,1,0,1,10.0
9210,浦和,4,1,3,2.0
9210,川崎F,3,1,6,4.0
9210,広島,1,0,1,10.0
9210,横浜FM,3,1,3,4.0
9210,千葉,1,0,2,10.0
9210,新潟,3,1,2,4.0
9210,鹿島,3,0,0,4.0
9210,京都,1,0,1,10.0
9210,福岡,2,0,1,8.0
9210,大分,1,0,1,10.0
9210,C大阪,0,0,1,16.0
9211,G大阪,4,1,6,3.0
9211,甲府,1,0,2,10.0
9211,FC東京,0,0,0,16.0
9211,磐田,2,0,1,8.0
9211,清水,9,3,1,1.0
9211,名古屋,0,0,0,16.0
9211,大宮,1,0,1,10.0
9211,浦和,7,2,4,2.0
9211,川崎F,3,1,6,4.0
9211,広島,1,0,1,10.0
9211,横浜FM,3,1,3,4.0
9211,千葉,1,0,2,10.0
9211,新潟,3,1,2,4.0
9211,鹿島,3,0,0,4.0
9211,京都,1,0,1,10.0
9211,福岡,2,0,1,8.0
9211,大分,1,0,1,10.0
9211,C大阪,0,0,1,16.0
9212,G大阪,4,1,6,4.0
9212,甲府,1,0,2,10.0
9212,FC東京,0,0,0,16.0
9212,磐田,2,0,1,8.0
9212,清水,9,3,1,1.0
9212,名古屋,0,0,0,16.0
9212,大宮,1,0,1,10.0
9212,浦和,7,2,4,2.0
9212,川崎F,3,1,6,5.0
9212,広島,1,0,1,10.0
9212,横浜FM,3,1,3,5.0
9212,千葉,1,0,2,10.0
9212,新潟,6,2,2,3.0
9212,鹿島,3,0,0,5.0
9212,京都,1,0,1,10.0
9212,福岡,2,0,1,8.0
9212,大分,1,0,1,10.0
9212,C大阪,0,0,1,16.0
9213,G大阪,4,1,6,4.0
9213,甲府,4,1,1,4.0
9213,FC東京,0,0,0,16.0
9213,磐田,2,0,1,9.0
9213,清水,9,3,1,1.0
9213,名古屋,0,0,0,16.0
9213,大宮,1,0,1,11.0
9213,浦和,7,2,4,2.0
9213,川崎F,3,0,0,6.0
9213,広島,1,0,1,11.0
9213,横浜FM,3,1,3,6.0
9213,千葉,1,0,2,11.0
9213,新潟,6,2,2,3.0
9213,鹿島,3,0,0,6.0
9213,京都,1,0,1,11.0
9213,福岡,2,0,1,9.0
9213,大分,1,0,1,11.0
9213,C大阪,0,0,1,16.0
9214,G大阪,4,1,6,4.0
9214,甲府,4,1,1,4.0
9214,FC東京,0,0,0,17.0
9214,磐田,2,0,1,9.0
9214,清水,9,3,1,1.0
9214,名古屋,1,0,0,11.0
9214,大宮,1,0,1,11.0
9214,浦和,7,2,4,2.0
9214,川崎F,3,0,0,7.0
9214,広島,1,0,1,11.0
9214,横浜FM,3,1,3,7.0
9214,千葉,1,0,2,11.0
9214,新潟,6,2,2,3.0
9214,鹿島,4,0,0,4.0
9214,京都,1,0,1,11.0
9214,福岡,2,0,1,9.0
9214,大分,1,0,1,11.0
9214,C大阪,0,0,1,17.0
9215,G大阪,4,1,6,4.0
9215,甲府,4,1,1,4.0
9215,FC東京,0,0,0,17.0
9215,磐田,2,0,1,10.0
9215,清水,9,3,1,1.0
9215,名古屋,1,0,0,12.0
9215,大宮,1,0,1,12.0
9215,浦和,7,2,4,2.0
9215,川崎F,3,0,0,7.0
9215,広島,1,0,1,12.0
9215,横浜FM,3,1,3,7.0
9215,千葉,2,0,2,10.0
9215,新潟,6,2,2,3.0
9215,鹿島,4,0,0,4.0
9215,京都,1,0,1,12.0
9215,福岡,3,0,2,7.0
9215,大分,1,0,1,12.0
9215,C大阪,0,0,1,17.0
9216,G大阪,4,1,6,5.0
9216,甲府,4,1,1,5.0
9216,FC東京,0,0,0,17.0
9216,磐田,2,0,1,10.0
9216,清水,9,3,1,1.0
9216,名古屋,1,0,0,12.0
9216,大宮,1,0,1,12.0
9216,浦和,7,2,4,2.0
9216,川崎F,3,0,0,8.0
9216,広島,1,0,1,12.0
9216,横浜FM,6,2,3,3.0
9216,千葉,2,0,2,10.0
9216,新潟,6,2,2,3.0
9216,鹿島,4,0,0,5.0
9216,京都,1,0,1,12.0
9216,福岡,3,0,2,8.0
9216,大分,1,0,1,12.0
9216,C大阪,0,0,1,17.0
9217,G大阪,4,0,1,5.0
9217,甲府,4,1,1,5.0
9217,FC東京,0,0,0,17.0
9217,磐田,2,0,1,11.0
9217,清水,9,3,1,1.0
9217,名古屋,1,0,0,13.0
9217,大宮,1,0,1,13.0
9217,浦和,7,2,4,2.0
9217,川崎F,3,0,0,9.0
9217,広島,1,0,1,13.0
9217,横浜FM,6,2,3,3.0
9217,千葉,2,0,2,11.0
9217,新潟,6,2,2,3.0
9217,鹿島,4,0,0,5.0
9217,京都,1,0,1,13.0
9217,福岡,3,0,2,9.0
9217,大分,4,1,3,5.0
9217,C大阪,0,0,1,17.0
9218,G大阪,4,0,1,6.0
9218,甲府,4,0,1,6.0
9218,FC東京,0,0,0,17.0
9218,磐田,2,0,1,11.0
9218,清水,9,3,1,1.0
9218,名古屋,1,0,0,13.0
9218,大宮,1,0,1,13.0
9218,浦和,7,2,4,2.0
9218,川崎F,3,0,0,9.0
9218,広島,1,0,1,13.0
9218,横浜FM,6,2,3,4.0
9218,千葉,2,0,2,11.0
9218,新潟,6,2,2,4.0
9218,鹿島,7,1,3,2.0
9218,京都,1,0,1,13.0
9218,福岡,3,0,2,9.0
9218,大分,4,1,3,6.0
9218,C大阪,0,0,1,17.0
9219,G大阪,4,0,1,6.0
9219,甲府,4,0,1,6.0
9219,FC東京,0,0,0,17.0
9219,磐田,2,0,1,12.0
9219,清水,9,3,1,1.0
9219,名古屋,4,1,1,6.0
9219,大宮,1,0,1,14.0
9219,浦和,7,2,4,2.0
9219,川崎F,3,0,0,10.0
9219,広島,1,0,1,14.0
9219,横浜FM,6,2,3,4.0
9219,千葉,2,0,2,12.0
9219,新潟,6,2,2,4.0
9219,鹿島,7,1,3,2.0
9219,京都,1,0,1,14.0
9219,福岡,3,0,0,10.0
9219,大分,4,1,3,6.0
9219,C大阪,0,0,1,17.0
9220,G大阪,4,0,1,6.0
9220,甲府,4,0,1,6.0
9220,FC東京,0,0,0,17.0
9220,磐田,2,0,1,12.0
9220,清水,9,3,1,2.0
9220,名古屋,4,1,1,6.0
9220,大宮,1,0,1,14.0
9220,浦和,10,3,3,1.0
9220,川崎F,3,0,0,10.0
9220,広島,1,0,1,14.0
9220,横浜FM,6,2,3,4.0
9220,千葉,2,0,2,12.0
9220,新潟,6,2,2,4.0
9220,鹿島,7,1,3,3.0
9220,京都,1,0,1,14.0
9220,福岡,3,0,0,10.0
9220,大分,4,1,3,6.0
9220,C大阪,0,0,0,17.0
9221,G大阪,4,0,1,7.0
9221,甲府,4,0,1,7.0
9221,FC東京,0,0,0,17.0
9221,磐田,5,1,2,6.0
9221,清水,9,3,1,2.0
9221,名古屋,4,1,1,7.0
9221,大宮,1,0,1,14.0
9221,浦和,10,3,3,1.0
9221,川崎F,3,0,0,11.0
9221,広島,1,0,1,14.0
9221,横浜FM,6,2,3,4.0
9221,千葉,2,0,2,13.0
9221,新潟,6,0,0,4.0
9221,鹿島,7,1,3,3.0
9221,京都,1,0,1,14.0
9221,福岡,3,0,0,11.0
9221,大分,4,1,3,7.0
9221,C大阪,0,0,0,17.0
9222,G大阪,4,0,1,8.0
9222,甲府,4,0,1,8.0
9222,FC東京,0,0,0,17.0
9222,磐田,5,1,2,6.0
9222,清水,9,0,1,2.0
9222,名古屋,4,1,1,8.0
9222,大宮,1,0,1,14.0
9222,浦和,10,3,3,1.0
9222,川崎F,3,0,0,12.0
9222,広島,1,0,1,14.0
9222,横浜FM,6,2,3,4.0
9222,千葉,5,1,2,6.0
9222,新潟,6,0,0,4.0
9222,鹿島,7,1,3,3.0
9222,京都,1,0,1,14.0
9222,福岡,3,0,0,12.0
9222,大分,4,1,3,8.0
9222,C大阪,0,0,0,17.0
9223,G大阪,4,0,1,8.0
9223,甲府,4,0,1,8.0
9223,FC東京,0,0,0,17.0
9223,磐田,5,1,2,6.0
9223,清水,9,0,1,2.0
9223,名古屋,4,1,1,8.0
9223,大宮,1,0,1,14.0
9223,浦和,10,3,3,1.0
9223,川崎F,3,0,0,12.0
9223,広島,1,0,1,14.0
9223,横浜FM,9,3,2,2.0
9223,千葉,5,1,2,6.0
9223,新潟,6,0,0,5.0
9223,鹿島,7,1,3,4.0
9223,京都,1,0,1,14.0
9223,福岡,3,0,0,12.0
9223,大分,4,0,1,8.0
9223,C大阪,0,0,0,17.0
9224,G大阪,4,0,1,8.0
9224,甲府,4,0,1,8.0
9224,FC東京,1,0,2,14.0
9224,磐田,5,1,2,6.0
9224,清水,9,0,1,2.0
9224,名古屋,4,1,1,8.0
9224,大宮,1,0,1,14.0
9224,浦和,10,3,3,1.0
9224,川崎F,4,0,2,8.0
9224,広島,1,0,1,14.0
9224,横浜FM,9,3,2,2.0
9224,千葉,5,1,2,6.0
9224,新潟,6,0,0,5.0
9224,鹿島,7,1,3,4.0
9224,京都,1,0,1,14.0
9224,福岡,3,0,0,13.0
9224,大分,4,0,1,8.0
9224,C大阪,0,0,0,18.0
9225,G大阪,4,0,1,8.0
9225,甲府,4,0,1,8.0
9225,FC東京,1,0,2,16.0
9225,磐田,5,1,2,6.0
9225,清水,9,0,1,2.0
9225,名古屋,4,1,1,8.0
9225,大宮,1,0,1,16.0
9225,浦和,10,3,3,1.0
9225,川崎F,4,0,2,8.0
9225,広島,2,0,2,14.0
9225,横浜FM,9,3,2,2.0
9225,千葉,5,1,2,6.0
9225,新潟,6,0,0,5.0
9225,鹿島,7,1,3,4.0
9225,京都,2,0,2,14.0
9225,福岡,3,0,0,13.0
9225,大分,4,0,1,8.0
9225,C大阪,0,0,0,18.0
9226,G大阪,7,1,3,4.0
9226,甲府,4,0,1,9.0
9226,FC東京,1,0,2,16.0
9226,磐田,5,1,2,7.0
9226,清水,9,0,1,2.0
9226,名古屋,4,1,1,9.0
9226,大宮,1,0,1,16.0
9226,浦和,10,3,3,1.0
9226,川崎F,4,0,2,9.0
9226,広島,2,0,2,14.0
9226,横浜FM,9,3,2,2.0
9226,千葉,5,1,2,7.0
9226,新潟,6,0,0,6.0
9226,鹿島,7,1,3,4.0
9226,京都,2,0,2,14.0
9226,福岡,3,0,0,13.0
9226,大分,4,0,1,9.0
9226,C大阪,0,0,0,18.0
9227,G大阪,7,1,3,4.0
9227,甲府,4,0,1,9.0
9227,FC東京,1,0,2,17.0
9227,磐田,5,1,2,7.0
9227,清水,9,0,0,2.0
9227,名古屋,4,1,1,9.0
9227,大宮,4,1,1,9.0
9227,浦和,10,3,3,1.0
9227,川崎F,4,0,2,9.0
9227,広島,2,0,2,15.0
9227,横浜FM,9,3,2,2.0
9227,千葉,5,1,2,7.0
9227,新潟,6,0,0,6.0
9227,鹿島,7,1,3,4.0
9227,京都,2,0,2,15.0
9227,福岡,3,0,0,14.0
9227,大分,4,0,1,9.0
9227,C大阪,0,0,0,18.0
9228,G大阪,7,1,3,4.0
9228,甲府,4,0,1,10.0
9228,FC東京,1,0,2,17.0
9228,磐田,5,0,1,8.0
9228,清水,9,0,0,2.0
9228,名古屋,4,1,1,10.0
9228,大宮,4,1,1,10.0
9228,浦和,10,3,3,1.0
9228,川崎F,7,1,2,4.0
9228,広島,2,0,2,15.0
9228,横浜FM,9,3,2,2.0
9228,千葉,5,1,2,8.0
9228,新潟,6,0,0,7.0
9228,鹿島,7,1,3,4.0
9228,京都,2,0,2,15.0
9228,福岡,3,0,0,14.0
9228,大分,4,0,1,10.0
9228,C大阪,0,0,0,18.0
9229,G大阪,7,1,3,4.0
9229,甲府,4,0,1,10.0
9229,FC東京,1,0,2,18.0
9229,磐田,5,0,1,8.0
9229,清水,9,0,0,2.0
9229,名古屋,4,1,1,10.0
9229,大宮,4,1,1,10.0
9229,浦和,10,3,3,1.0
9229,川崎F,7,1,2,4.0
9229,広島,2,0,2,16.0
9229,横浜FM,9,3,2,2.0
9229,千葉,5,1,2,8.0
9229,新潟,6,0,1,7.0
9229,鹿島,7,1,3,4.0
9229,京都,2,0,2,16.0
9229,福岡,3,0,0,14.0
9229,大分,4,0,1,10.0
9229,C大阪,3,1,3,14.0
9230,G大阪,10,2,3,1.0
9230,甲府,4,0,1,10.0
9230,FC東京,1,0,2,18.0
9230,磐田,5,0,1,8.0
9230,清水,9,0,0,3.0
9230,名古屋,4,1,1,10.0
9230,大宮,4,1,1,10.0
9230,浦和,10,3,3,1.0
9230,川崎F,7,1,2,5.0
9230,広島,2,0,1,16.0
9230,横浜FM,9,3,2,3.0
9230,千葉,5,1,2,8.0
9230,新潟,6,0,1,7.0
9230,鹿島,7,1,3,5.0
9230,京都,2,0,2,16.0
9230,福岡,3,0,0,14.0
9230,大分,4,0,1,10.0
9230,C大阪,3,1,3,14.0
9231,G大阪,10,2,3,2.0
9231,甲府,4,0,1,10.0
9231,FC東京,1,0,2,18.0
9231,磐田,5,0,1,8.0
9231,清水,9,0,0,3.0
9231,名古屋,4,1,1,10.0
9231,大宮,4,1,1,10.0
9231,浦和,13,4,3,1.0
9231,川崎F,7,1,2,5.0
9231,広島,2,0,1,16.0
9231,横浜FM,9,0,1,3.0
9231,千葉,5,1,2,8.0
9231,新潟,6,0,1,7.0
9231,鹿島,7,1,3,5.0
9231,京都,2,0,2,16.0
9231,福岡,3,0,0,14.0
9231,大分,4,0,1,10.0
9231,C大阪,3,1,3,14.0
9232,G大阪,10,2,3,2.0
9232,甲府,5,0,1,8.0
9232,FC東京,1,0,2,18.0
9232,磐田,5,0,1,8.0
9232,清水,9,0,0,3.0
9232,名古屋,4,1,1,11.0
9232,大宮,4,1,1,11.0
9232,浦和,13,4,3,1.0
9232,川崎F,7,1,2,5.0
9232,広島,2,0,1,16.0
9232,横浜FM,9,0,1,3.0
9232,千葉,5,1,2,8.0
9232,新潟,6,0,1,7.0
9232,鹿島,7,1,3,5.0
9232,京都,2,0,2,16.0
9232,福岡,4,0,1,11.0
9232,大分,4,0,1,11.0
9232,C大阪,3,1,3,15.0
9233,G大阪,10,2,3,2.0
9233,甲府,5,0,1,8.0
9233,FC東京,1,0,2,18.0
9233,磐田,5,0,1,8.0
9233,清水,9,0,0,4.0
9233,名古屋,4,1,1,11.0
9233,大宮,4,1,1,11.0
9233,浦和,13,4,3,1.0
9233,川崎F,7,1,2,6.0
9233,広島,2,0,1,16.0
9233,横浜FM,9,0,1,4.0
9233,千葉,5,0,0,8.0
9233,新潟,6,0,1,7.0
9233,鹿島,10,2,1,2.0
9233,京都,2,0,2,16.0
9233,福岡,4,0,1,11.0
9233,大分,4,0,1,11.0
9233,C大阪,3,1,3,15.0
9234,G大阪,10,2,3,2.0
9234,甲府,5,0,1,9.0
9234,FC東京,1,0,2,18.0
9234,磐田,5,0,1,9.0
9234,清水,9,0,0,4.0
9234,名古屋,4,0,0,12.0
9234,大宮,4,1,1,12.0
9234,浦和,13,4,3,1.0
9234,川崎F,7,1,2,6.0
9234,広島,2,0,1,16.0
9234,横浜FM,9,0,1,4.0
9234,千葉,5,0,0,9.0
9234,新潟,6,0,1,8.0
9234,鹿島,10,2,1,2.0
9234,京都,2,0,2,16.0
9234,福岡,4,0,1,12.0
9234,大分,7,1,3,6.0
9234,C大阪,3,1,3,15.0
9235,G大阪,10,2,3,2.0
9235,甲府,5,0,1,9.0
9235,FC東京,4,1,2,12.0
9235,磐田,5,0,1,9.0
9235,清水,9,0,0,4.0
9235,名古屋,4,0,0,12.0
9235,大宮,4,1,1,12.0
9235,浦和,13,4,3,1.0
9235,川崎F,7,1,2,6.0
9235,広島,2,0,1,17.0
9235,横浜FM,9,0,1,4.0
9235,千葉,5,0,0,9.0
9235,新潟,6,0,1,8.0
9235,鹿島,10,2,1,2.0
9235,京都,2,0,1,17.0
9235,福岡,4,0,1,12.0
9235,大分,7,1,3,6.0
9235,C大阪,3,1,3,16.0
9236,G大阪,10,2,3,2.0
9236,甲府,5,0,1,9.0
9236,FC東京,5,0,1,9.0
9236,磐田,5,0,1,9.0
9236,清水,9,0,0,5.0
9236,名古屋,4,0,0,13.0
9236,大宮,4,1,1,13.0
9236,浦和,13,4,3,1.0
9236,川崎F,7,1,2,6.0
9236,広島,2,0,1,17.0
9236,横浜FM,10,0,1,2.0
9236,千葉,5,0,0,9.0
9236,新潟,6,0,1,8.0
9236,鹿島,10,2,1,2.0
9236,京都,2,0,1,17.0
9236,福岡,4,0,1,13.0
9236,大分,7,1,3,6.0
9236,C大阪,3,1,3,16.0
9237,G大阪,10,2,3,2.0
9237,甲府,8,1,3,6.0
9237,FC東京,5,0,1,10.0
9237,磐田,5,0,1,10.0
9237,清水,9,0,0,5.0
9237,名古屋,4,0,0,13.0
9237,大宮,4,1,1,13.0
9237,浦和,13,4,3,1.0
9237,川崎F,7,1,2,7.0
9237,広島,2,0,1,17.0
9237,横浜FM,10,0,1,2.0
9237,千葉,5,0,0,10.0
9237,新潟,6,0,1,9.0
9237,鹿島,10,2,1,2.0
9237,京都,2,0,1,17.0
9237,福岡,4,0,1,13.0
9237,大分,7,1,3,7.0
9237,C大阪,3,0,2,16.0
9238,G大阪,13,3,3,1.0
9238,甲府,8,1,3,6.0
9238,FC東京,5,0,1,10.0
9238,磐田,5,0,1,10.0
9238,清水,9,0,2,5.0
9238,名古屋,4,0,0,13.0
9238,大宮,4,1,1,13.0
9238,浦和,13,4,3,1.0
9238,川崎F,7,1,2,7.0
9238,広島,2,0,1,17.0
9238,横浜FM,10,0,1,3.0
9238,千葉,5,0,0,10.0
9238,新潟,6,0,1,9.0
9238,鹿島,10,2,1,3.0
