id,kick_off_time,humidity,broadcasters,attendance,capacity,lat,lon,holiday,weather_encoded,match_year,match_month,match_day,address_encoded,group_encoded,section_encoded,home_team_encoded,away_team_encoded,away_distance
9244,1400,45,4,14599.0,20396,36.1798,137.91714,1,1,2006,4,8,22,1,7,2,15,214916.11124671376
9245,1505,28,2,8370.0,21500,35.8715047,139.66588758343676,1,2,2006,4,8,5,7,7,8,12,47092.17943025409
9246,1502,53,2,8770.0,19470,35.577544849999995,140.12215979931813,1,2,2006,4,8,4,7,7,14,20,430981.53154101514
9247,1504,37,3,15311.0,43739,35.0845879,137.17087353460715,1,3,2006,4,8,13,1,7,7,17,129532.69971979946
9248,1504,17,1,7418.0,36894,34.444006,132.394111,1,2,2006,4,8,11,0,7,11,10,671245.0483879595
9249,1603,25,2,24214.0,47851,35.66418645,139.52707517816015,1,2,2006,4,8,15,7,7,3,5,128972.61374845167
9250,1904,31,2,17967.0,21000,34.810305,135.5426977881143,1,1,2006,4,8,7,6,7,1,16,475821.9345462037
9251,1304,37,3,10039.0,20248,34.985168,138.481305,2,2,2006,4,9,23,1,7,6,19,662520.6796666186
9252,1505,28,2,21545.0,22331,33.58731,130.463308,2,1,2006,4,9,19,2,7,18,9,877743.7749978954
9253,1502,51,2,12361.0,38620,35.9920049,140.64036786659403,1,2,2006,4,15,20,7,8,16,6,233749.1687841727
9254,1505,35,4,40657.0,62010,35.903486900000004,139.71744524095004,1,2,2006,4,15,5,7,8,9,17,372900.2298954734
9255,1504,71,2,10421.0,47853,34.614434,135.515477,1,0,2006,4,15,7,6,8,20,18,483335.7992280447
9256,1504,87,3,15138.0,31997,33.20078235,131.65748521324446,1,3,2006,4,15,6,2,8,19,2,691359.7355418173
9257,1534,24,2,39322.0,41684,37.882408,139.059359,1,2,2006,4,15,14,1,8,15,7,356452.68180985097
9258,1604,29,2,21190.0,47851,35.66418645,139.52707517816015,1,2,2006,4,15,15,7,8,3,14,54397.57461038053
9259,1904,36,2,28885.0,71624,35.5099882,139.60638254387774,1,2,2006,4,15,18,7,8,12,1,383685.58862315014
9260,1505,69,2,11149.0,26232,35.5858,139.6527088,2,1,2006,4,16,18,7,8,10,8,30179.493203425165
9261,1504,42,2,11788.0,15165,34.7251498,137.8751465,2,2,2006,4,16,23,1,8,5,11,498282.1577384246
9262,1400,44,1,11810.0,20223,35.131623,136.933489,1,1,2006,4,22,13,1,9,7,10,248883.7300509567
9263,1403,42,2,15103.0,21000,34.810305,135.5426977881143,1,1,2006,4,22,7,6,9,1,3,389946.740426406
9264,1500,28,1,6162.0,21500,35.8715047,139.66588758343676,1,2,2006,4,22,5,7,9,8,19,794425.7824063295
9265,1505,48,2,15184.0,19470,35.577544849999995,140.12215979931813,1,2,2006,4,22,4,7,9,14,5,171675.53078464395
9266,1504,50,2,12295.0,20588,34.993469899999994,135.7139887487088,1,1,2006,4,22,0,6,9,17,16,453812.0208767586
9267,1504,83,2,6794.0,36894,34.444006,132.394111,1,0,2006,4,22,11,0,9,11,20,288012.1965961033
9268,1904,60,2,23406.0,51697,34.743828,137.968162,1,1,2006,4,22,23,1,9,6,9,196493.33366884798
9269,1504,55,2,14615.0,15859,35.62243055,138.5898405799294,2,1,2006,4,23,10,1,9,2,12,97404.44840185351
9270,1505,66,3,8667.0,22331,33.58731,130.463308,2,2,2006,4,23,19,2,9,18,15,909660.2671142463
9271,1500,53,1,13450.0,38620,35.9920049,140.64036786659403,3,1,2006,4,29,20,7,10,16,18,971589.0177348794
9272,1504,70,3,54774.0,62010,35.903486900000004,139.71744524095004,3,1,2006,4,29,5,7,10,9,8,8079.364680512416
9273,1500,76,1,13300.0,26232,35.5858,139.6527088,3,0,2006,4,29,18,7,10,10,6,133803.94366959628
9274,1506,78,2,20232.0,71624,35.5099882,139.60638254387774,3,1,2006,4,29,18,7,10,12,11,664223.2303223981
9275,1502,48,2,20268.0,47853,34.614434,135.515477,3,2,2006,4,29,7,6,10,20,17,50069.491666467904
9276,1504,61,1,20543.0,31997,33.20078235,131.65748521324446,3,2,2006,4,29,6,2,10,19,14,822453.4343920044
9277,1904,70,2,22188.0,47851,35.66418645,139.52707517816015,3,1,2006,4,29,15,7,10,3,7,243947.56999590385
9278,1304,63,4,14642.0,15165,34.7251498,137.8751465,2,2,2006,4,30,23,1,10,5,2,121931.65375695453
9279,1504,42,2,41430.0,41684,37.882408,139.059359,2,0,2006,4,30,14,1,10,15,1,476285.66607178916
9280,1404,31,3,15427.0,15859,35.62243055,138.5898405799294,3,2,2006,5,3,10,1,11,2,3,100046.90270422983
9281,1504,46,2,22948.0,38620,35.9920049,140.64036786659403,3,2,2006,5,3,20,7,11,16,19,882080.3483718506
9282,1504,51,3,18241.0,20248,34.985168,138.481305,3,2,2006,5,3,23,1,11,6,20,272970.98792230646
9283,1504,27,2,11221.0,20588,34.993469899999994,135.7139887487088,3,2,2006,5,3,0,6,11,17,15,438269.4240722352
9284,1500,54,1,11101.0,22331,33.58731,130.463308,3,2,2006,5,3,19,2,11,18,10,867352.7732172871
9285,1604,36,3,9031.0,21500,35.8715047,139.66588758343676,3,2,2006,5,3,5,7,11,8,11,676685.713337769
9286,1603,48,3,17438.0,19470,35.577544849999995,140.12215979931813,3,2,2006,5,3,4,7,11,14,9,52999.74167790841
9287,1904,67,2,25687.0,43739,35.0845879,137.17087353460715,3,2,2006,5,3,13,1,11,7,12,228453.03065198107
9288,1904,95,2,15343.0,20261,36.4011162,136.4403063,0,0,2006,7,12,17,1,11,1,5,236402.4054845484
9289,1504,45,2,25128.0,47851,35.66418645,139.52707517816015,1,2,2006,5,6,15,7,12,3,8,24094.73325227296
9290,1504,50,2,32073.0,71624,35.5099882,139.60638254387774,1,2,2006,5,6,18,7,12,12,14,48015.84007892351
9291,1504,60,2,36376.0,51697,34.743828,137.968162,1,1,2006,5,6,23,1,12,5,7,108360.70556298901
9292,1504,68,2,21874.0,31997,33.20078235,131.65748521324446,1,3,2006,5,6,6,2,12,19,17,428383.87442815345
9293,1706,94,2,12466.0,36894,34.444006,132.394111,1,0,2006,5,6,11,0,12,11,18,204752.98092709214
9294,1904,66,2,42056.0,41684,37.882408,139.059359,1,2,2006,5,6,14,1,12,15,6,328057.02201796265
9295,1905,42,2,18193.0,21000,34.810305,135.5426977881143,1,1,2006,5,6,7,6,12,1,2,291314.5746168593
9296,1504,79,2,56982.0,62010,35.903486900000004,139.71744524095004,2,0,2006,5,7,5,7,12,9,16,81710.76295338334
9297,1505,82,2,9430.0,26232,35.5858,139.6527088,2,0,2006,5,7,18,7,12,10,20,389685.52999017376
9298,1904,80,2,7427.0,38620,35.9920049,140.64036786659403,0,1,2006,7,19,20,7,13,16,10,108647.19724787172
9299,1904,83,3,5806.0,21500,35.8715047,139.66588758343676,0,1,2006,7,19,5,7,13,8,5,153038.88701641242
9300,1904,85,2,15322.0,19470,35.577544849999995,140.12215979931813,0,1,2006,7,19,4,7,13,14,1,430981.53154101514
9301,1904,83,1,8025.0,15859,35.62243055,138.5898405799294,0,1,2006,7,19,10,1,13,2,17,266421.63491504313
9302,1904,76,1,38592.0,41684,37.882408,139.059359,0,2,2006,7,19,14,1,13,15,9,230727.57773160777
9303,1902,79,2,10183.0,20248,34.985168,138.481305,0,1,2006,7,19,23,1,13,6,12,117495.9986875949
9304,1901,64,2,6760.0,20223,35.131623,136.933489,0,2,2006,7,19,13,1,13,7,11,417593.70440717414
9305,1900,79,1,6806.0,47853,34.614434,135.515477,0,1,2006,7,19,7,6,13,20,19,391791.02086675406
9306,1904,96,2,12142.0,22331,33.58731,130.463308,0,0,2006,7,19,19,2,13,18,3,877271.9508588118
9307,1806,54,2,17070.0,20396,36.1798,137.91714,1,2,2006,7,22,22,1,14,3,16,228032.88137275525
9308,1806,87,1,13432.0,36894,34.444006,132.394111,1,2,2006,7,22,11,0,14,11,14,716815.7654171771
9309,1900,80,1,7493.0,21500,35.8715047,139.66588758343676,1,1,2006,7,22,5,7,14,8,2,101798.10004243643
9310,1904,77,2,23005.0,26232,35.5858,139.6527088,1,1,2006,7,22,18,7,14,10,9,30179.493203425165
9311,1902,75,3,13524.0,15165,34.7251498,137.8751465,1,1,2006,7,22,23,1,14,5,20,215893.6383061689
9312,1905,75,2,17864.0,21000,34.810305,135.5426977881143,1,1,2006,7,22,7,6,14,1,7,131111.8623530724
9313,1904,80,1,19304.0,31997,33.20078235,131.65748521324446,1,1,2006,7,22,6,2,14,19,15,846862.8840585011
9314,1905,84,2,19223.0,71624,35.5099882,139.60638254387774,2,1,2006,7,23,18,7,14,12,18,868906.5536946971
9315,1905,98,4,9005.0,20588,34.993469899999994,135.7139887487088,2,0,2006,7,23,0,6,14,17,6,243697.7478420733
9316,1904,68,3,16040.0,21500,35.8715047,139.66588758343676,0,2,2006,7,26,5,7,15,9,19,794425.7824063295
9317,1905,74,1,20425.0,26232,35.5858,139.6527088,0,2,2006,7,26,18,7,15,10,1,389685.52999017376
9318,1902,73,2,39278.0,41684,37.882408,139.059359,0,2,2006,7,26,14,1,15,15,16,210799.56725501304
9319,1904,79,2,12875.0,15165,34.7251498,137.8751465,0,2,2006,7,26,23,1,15,5,12,179977.01380053852
9320,1900,66,1,6618.0,20223,35.131623,136.933489,0,2,2006,7,26,13,1,15,7,8,259115.71936917238
9321,1904,74,2,13225.0,20588,34.993469899999994,135.7139887487088,0,2,2006,7,26,0,6,15,17,14,406690.43072281126
9322,1905,83,2,8027.0,47853,34.614434,135.515477,0,2,2006,7,26,7,6,15,20,3,398733.322258941
9323,1900,89,1,5545.0,36894,34.444006,132.394111,0,1,2006,7,26,11,0,15,11,2,579265.7866392074
9324,1900,78,1,13655.0,22331,33.58731,130.463308,0,2,2006,7,26,19,2,15,18,6,745129.2222719084
9325,1804,51,3,7278.0,15392,36.163875450000006,139.4109264736834,1,1,2006,7,29,5,7,16,8,17,354884.9787309805
9326,1834,72,3,31684.0,47851,35.66418645,139.52707517816015,1,1,2006,7,29,15,7,16,3,11,659944.3762228148
9327,1834,62,1,17000.0,15859,35.62243055,138.5898405799294,1,1,2006,7,29,10,1,16,2,9,99199.63370850413
9328,1905,88,2,14289.0,38620,35.9920049,140.64036786659403,1,1,2006,7,29,20,7,16,16,20,487519.48837062914
9329,1905,65,3,24920.0,51697,34.743828,137.968162,1,1,2006,7,29,23,1,16,6,5,45917.72270273867
9330,1904,75,1,14621.0,21000,34.810305,135.5426977881143,1,2,2006,7,29,7,6,16,1,18,490702.60521368886
9331,1904,73,1,20873.0,31997,33.20078235,131.65748521324446,1,2,2006,7,29,6,2,16,19,10,775691.1799450627
9332,1904,74,2,16961.0,19470,35.577544849999995,140.12215979931813,2,2,2006,7,30,4,7,16,14,7,295466.28151060786
9333,1904,59,2,24032.0,71624,35.5099882,139.60638254387774,2,1,2006,7,30,18,7,16,12,15,270486.553706171
9334,1800,82,1,10569.0,36894,34.444006,132.394111,1,2,2006,8,12,11,0,17,11,6,551729.9340073264
9335,1904,88,4,50195.0,62010,35.903486900000004,139.71744524095004,1,2,2006,8,12,5,7,17,9,3,23891.99130790611
9336,1904,81,2,20144.0,26232,35.5858,139.6527088,1,1,2006,8,12,18,7,17,10,12,15372.601197457492
9337,1900,59,1,41487.0,41684,37.882408,139.059359,1,2,2006,8,12,14,1,17,15,14,270038.4722965891
9338,1904,80,2,30353.0,51697,34.743828,137.968162,1,1,2006,8,12,23,1,17,5,16,286257.0423581268
9339,1901,73,1,12454.0,20223,35.131623,136.933489,1,1,2006,8,12,13,1,17,7,2,159927.06143797177
9340,1904,76,3,16089.0,20588,34.993469899999994,135.7139887487088,1,2,2006,8,12,0,6,17,17,1,38443.11532750364
9341,1900,69,1,12616.0,47853,34.614434,135.515477,1,2,2006,8,12,7,6,17,20,8,400598.72526778077
9342,1904,75,2,18205.0,22331,33.58731,130.463308,1,2,2006,8,12,19,2,17,18,19,113704.06300354889
9343,1904,82,2,34236.0,38620,35.9920049,140.64036786659403,1,1,2006,8,19,20,7,18,16,9,90807.37851436491
9344,1904,66,3,11355.0,21500,35.8715047,139.66588758343676,1,2,2006,8,19,5,7,18,8,1,399482.7143903851
9345,1904,83,1,38611.0,41684,37.882408,139.059359,1,2,2006,8,19,14,1,18,15,10,275183.39573588513
9346,1904,80,2,15410.0,20248,34.985168,138.481305,1,2,2006,8,19,23,1,18,6,2,75856.41827043793
9347,1900,80,2,14392.0,20223,35.131623,136.933489,1,2,2006,8,19,13,1,18,7,5,133347.82096635082
9348,1902,66,2,18609.0,47853,34.614434,135.515477,1,1,2006,8,19,7,6,18,20,12,387733.4734536287
9349,1900,84,1,10387.0,22331,33.58731,130.463308,1,1,2006,8,19,19,2,18,18,17,512180.062319812
9350,1805,82,2,10145.0,36894,34.444006,132.394111,2,2,2006,8,20,11,0,18,11,19,152049.6588906338
9351,1904,89,2,17261.0,19470,35.577544849999995,140.12215979931813,2,2,2006,8,20,4,7,18,14,3,40915.38592983025
9352,1904,84,3,34417.0,62010,35.903486900000004,139.71744524095004,0,2,2006,8,23,5,7,19,9,15,230232.7909749306
9353,1904,64,2,18533.0,54224,35.67785955,139.71351420013758,0,1,2006,8,23,15,7,19,3,18,882251.4609390164
9354,1901,67,1,11306.0,26232,35.5858,139.6527088,0,1,2006,8,23,18,7,19,10,7,253520.11062408853
9355,1905,80,2,11623.0,15440,35.469318,139.606574,0,1,2006,8,23,18,7,19,12,8,43261.31320997869
9356,1904,76,1,12115.0,15859,35.62243055,138.5898405799294,0,1,2006,8,23,10,1,19,2,16,185513.39129256742
9357,1902,81,2,11992.0,15165,34.7251498,137.8751465,0,1,2006,8,23,23,1,19,5,14,226849.6811396057
9358,1904,61,2,11291.0,20588,34.993469899999994,135.7139887487088,0,2,2006,8,23,0,6,19,17,20,38443.11532750364
9359,1904,55,2,17826.0,21000,34.810305,135.5426977881143,0,2,2006,8,23,7,6,19,1,11,286500.21590696
9360,1904,70,1,18864.0,31997,33.20078235,131.65748521324446,0,2,2006,8,23,6,2,19,19,6,651049.3651863202
9361,1803,72,2,9076.0,15392,36.163875450000006,139.4109264736834,1,1,2006,8,26,5,7,20,8,10,82191.18281265572
9362,1830,64,1,14052.0,38620,35.9920049,140.64036786659403,1,1,2006,8,26,20,7,20,16,11,765528.6331000676
9363,1834,75,1,14227.0,15859,35.62243055,138.5898405799294,1,0,2006,8,26,10,1,20,2,5,74038.061330464
9364,1904,62,2,40466.0,41684,37.882408,139.059359,1,2,2006,8,26,14,1,20,15,19,848799.5434697906
9365,1904,58,1,16177.0,20248,34.985168,138.481305,1,1,2006,8,26,23,1,20,6,3,134937.23717743572
9366,1905,69,2,23386.0,47853,34.614434,135.515477,1,1,2006,8,26,7,6,20,20,9,400598.72526778077
9367,1900,86,2,17738.0,22331,33.58731,130.463308,1,2,2006,8,26,19,2,20,18,14,913527.56540051
9368,1905,73,3,17556.0,20223,35.131623,136.933489,2,1,2006,8,27,13,1,20,7,1,138378.9962423149
9369,1904,89,3,8886.0,20588,34.993469899999994,135.7139887487088,2,1,2006,8,27,0,6,20,17,12,361152.57096310356
9370,1830,82,1,11433.0,19470,35.577544849999995,140.12215979931813,0,1,2006,8,30,4,7,21,14,10,45855.24491285691
9371,1859,84,2,9457.0,38620,35.9920049,140.64036786659403,0,1,2006,8,30,20,7,21,16,7,350145.84725605574
9372,1904,68,2,4873.0,21500,35.8715047,139.66588758343676,0,1,2006,8,30,5,7,21,8,18,882938.2419208244
9373,1904,60,3,21041.0,54224,35.67785955,139.71351420013758,0,1,2006,8,30,15,7,21,3,20,397537.19275141886
9374,1905,74,2,12384.0,15440,35.469318,139.606574,0,0,2006,8,30,18,7,21,12,2,96536.49646877928
9375,1900,83,1,9249.0,20248,34.985168,138.481305,0,1,2006,8,30,23,1,21,6,17,249066.23566764267
9376,1903,63,2,13979.0,21000,34.810305,135.5426977881143,0,1,2006,8,30,7,6,21,1,15,463863.21687322995
9377,1904,80,1,9513.0,36894,34.444006,132.394111,0,1,2006,8,30,11,0,21,11,5,551729.9340073264
9378,1904,90,2,27843.0,31997,33.20078235,131.65748521324446,0,3,2006,8,30,6,2,21,19,9,790247.7574056237
9379,1604,68,2,22769.0,71624,35.5099882,139.60638254387774,1,2,2006,9,9,18,7,22,12,10,7662.3856040149585
9380,1802,90,2,9299.0,36894,34.444006,132.394111,1,1,2006,9,9,11,0,22,11,7,420845.23460076284
9381,1834,79,2,21382.0,47851,35.66418645,139.52707517816015,1,1,2006,9,9,15,7,22,3,2,86748.91273310216
9382,1904,86,2,13463.0,19470,35.577544849999995,140.12215979931813,1,1,2006,9,9,4,7,22,14,6,171675.53078464395
9383,1900,90,1,11471.0,15165,34.7251498,137.8751465,1,2,2006,9,9,23,1,22,5,15,367232.8418619909
9384,1904,64,3,20463.0,21000,34.810305,135.5426977881143,1,2,2006,9,9,7,6,22,1,20,13905.778226959055
9385,1904,86,1,26841.0,31997,33.20078235,131.65748521324446,1,3,2006,9,9,6,2,22,19,18,123762.90012772943
9386,1904,77,2,9142.0,38620,35.9920049,140.64036786659403,2,2,2006,9,10,20,7,22,16,17,456225.6424391915
9387,1905,75,3,35059.0,62010,35.903486900000004,139.71744524095004,2,2,2006,9,10,5,7,22,8,9,8079.364680512416
9388,1404,59,3,8440.0,20588,34.993469899999994,135.7139887487088,1,1,2006,9,16,0,6,23,17,3,369716.206973855
9389,1404,88,3,25384.0,31997,33.20078235,131.65748521324446,1,1,2006,9,16,6,2,23,19,1,393142.2257234341
9390,1504,46,3,20800.0,54224,35.67785955,139.71351420013758,1,1,2006,9,16,15,7,23,6,16,98982.8359662924
9391,1904,76,3,39123.0,62010,35.903486900000004,139.71744524095004,1,1,2006,9,16,5,7,23,9,11,681976.6491914123
9392,1900,58,1,9308.0,20223,35.131623,136.933489,1,1,2006,9,16,13,1,23,7,15,359847.87402447115
9393,1904,57,1,19036.0,47853,34.614434,135.515477,1,2,2006,9,16,7,6,23,20,14,434143.8135786871
9394,1904,88,3,12519.0,22331,33.58731,130.463308,1,0,2006,9,16,19,2,23,18,12,867352.7732172871
9395,1904,88,2,15482.0,26232,35.5858,139.6527088,2,0,2006,9,17,18,7,23,10,5,133803.94366959628
9396,1904,79,2,10150.0,15859,35.62243055,138.5898405799294,2,1,2006,9,17,10,1,23,2,8,99199.63370850413
9397,1504,58,4,48378.0,62010,35.903486900000004,139.71744524095004,3,2,2006,9,23,5,7,24,9,6,158886.07457911022
9398,1505,42,2,21665.0,71624,35.5099882,139.60638254387774,3,2,2006,9,23,18,7,24,12,7,248113.49566289634
9399,1502,55,3,12654.0,22331,33.58731,130.463308,3,2,2006,9,23,19,2,24,18,20,481931.46777920495
9400,1534,43,2,11218.0,15165,34.7251498,137.8751465,3,2,2006,9,23,23,1,24,5,19,601603.8706788283
9401,1600,41,1,10265.0,36894,34.444006,132.394111,3,2,2006,9,23,11,0,24,11,8,679130.7748856196
9402,1834,64,2,10857.0,19470,35.577544849999995,140.12215979931813,3,1,2006,9,23,4,7,24,14,17,402117.6040434762
9403,1903,57,3,17544.0,21000,34.810305,135.5426977881143,3,2,2006,9,23,7,6,24,1,10,380259.3415245128
9404,1504,52,2,17398.0,38620,35.9920049,140.64036786659403,2,2,2006,9,24,20,7,24,16,3,92061.75948546133
9405,1504,47,2,40422.0,41684,37.882408,139.059359,2,2,2006,9,24,14,1,24,15,2,249924.82947228593
9406,1503,49,3,24136.0,47851,35.66418645,139.52707517816015,1,2,2006,9,30,15,7,25,3,15,252351.77630597932
9407,1504,54,2,12029.0,26232,35.5858,139.6527088,1,1,2006,9,30,18,7,25,10,11,669684.2390273884
9408,1504,53,3,25435.0,71624,35.5099882,139.60638254387774,1,1,2006,9,30,18,7,25,12,5,126070.48866588014
9409,1704,49,4,16492.0,20588,34.993469899999994,135.7139887487088,1,2,2006,9,30,0,6,25,17,9,369856.5826753727
9410,1831,80,1,10609.0,19470,35.577544849999995,140.12215979931813,1,2,2006,9,30,4,7,25,14,19,823941.4982151691
9411,1904,78,2,8223.0,21500,35.8715047,139.66588758343676,1,1,2006,9,30,5,7,25,8,7,261736.22654064928
9412,1904,45,1,15186.0,47853,34.614434,135.515477,1,2,2006,9,30,7,6,25,20,16,486764.5708443996
9413,1504,76,2,15462.0,15859,35.62243055,138.5898405799294,2,0,2006,10,1,10,1,25,2,1,298432.36704686296
9414,1504,81,3,10807.0,20248,34.985168,138.481305,2,0,2006,10,1,23,1,25,6,18,757663.4951198562
9415,1905,68,3,5237.0,20588,34.993469899999994,135.7139887487088,0,2,2006,10,6,0,6,26,17,8,369856.5826753727
9416,1504,45,3,48952.0,62010,35.903486900000004,139.71744524095004,1,2,2006,10,7,5,7,26,9,14,49463.23462024799
9417,1501,40,1,10282.0,26232,35.5858,139.6527088,1,2,2006,10,7,18,7,26,10,19,783404.0570843493
9418,1805,45,2,10222.0,15859,35.62243055,138.5898405799294,1,2,2006,10,7,10,1,26,2,11,575748.7685646851
9419,1404,69,2,35603.0,41684,37.882408,139.059359,1,0,2006,10,7,14,1,26,15,12,275183.39573588513
9420,1504,36,3,21066.0,51697,34.743828,137.968162,1,2,2006,10,7,23,1,26,5,1,224436.84084491158
